doy,dow,month,highpricemwh,lowpricemwh,price,change,vol,numt,numc,date,mean_price,dm_price,highsd,avgsd,lowsd,fogsd,rainsd,raintsd,rainfsd,highla,avgla,lowla,fogla,rainla,raintla,rainfla,cloudsd,cloudla,multtemp,addtemp,predprice,cloud,datename,totalest,accommodationandfoodservices,administrativeandsupportandwaste,agricultureforestryfishingandhun,artsentertainmentandrecreation,construction,educationalservices,financeandinsurance,healthcareandsocialassistance,industriesnotclassified,information,managementofcompaniesandenterpri,manufacturing,mining,otherservicesexceptpublicadminis,professionalscientificandtechnic,realestateandrentalandleasing,retailtrade,transportationandwarehousing,utilities,wholesaletrade,totalemp,accommodationandfoodservicesempl,v25,v26,artsentertainmentandrecreationem,constructionemployees,educationalservicesemployees,financeandinsuranceemployees,healthcareandsocialassistanceemp,industriesnotclassifiedemployees,informationemployees,v34,manufacturingemployees,miningemployees,v37,v38,realestateandrentalandleasingemp,retailtradeemployees,transportationandwarehousingempl,utilitiesemployees,wholesaletradeemployees,totalpay,accommodationandfoodservicespayr,v46,v47,artsentertainmentandrecreationpa,constructionpayroll,educationalservicespayroll,financeandinsurancepayroll,healthcareandsocialassistancepay,industriesnotclassifiedpayroll,informationpayroll,v55,manufacturingpayroll,miningpayroll,v58,v59,realestateandrentalandleasingpay,retailtradepayroll,transportationandwarehousingpayr,utilitiespayroll,wholesaletradepayroll,totalpayint,totalempint,totalestint,ngprice,_merge
214,4,8,83,78.75,81.019997,4.65,,210,32,17014,52.548,28.471996,,,,,,,,,,,,,,,,,,,,,8/1/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26757922.42307692,1016798.192307692,66717.53846153847,8.6599998,matched (3)
215,5,8,78,76.75,77.510002,-3.51,,192,33,17015,50.332001,27.178001,,,,,,,,,,,,,,,,,,,,,8/2/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26759063.77747253,1016822.788461538,66718.80769230769,8.6499996,matched (3)
216,6,8,69.75,66,66.800003,-10.71,,184,31,17016,47.74818,19.051823,,,,,,,,,,,,,,,,,,,,,8/3/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26760205.13186813,1016847.384615385,66720.07692307692,7.6100001,matched (3)
219,2,8,74.25,70,71.860001,5.06,,191,35,17017,49.170834,22.689167,,,,,,,,,,,,,,,,,,,,,8/4/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26761346.48626373,1016871.980769231,66721.34615384616,7.4400001,matched (3)
220,3,8,74.5,71.75,73.18,1.32,,169,37,17020,57.366669,15.813332,,,,,,,,,,,,,,,,,,,,,8/7/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26764770.54945055,1016945.769230769,66725.15384615384,6.9699998,matched (3)
221,4,8,78.75,75.25,77.449997,4.27,,189,36,17021,53.242001,24.207996,,,,,,,,,,,,,,,,,,,,,8/8/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26765911.90384615,1016970.365384615,66726.42307692308,7.0599999,matched (3)
222,5,8,84.25,80,82.959999,5.51,,180,35,17022,53.638,29.321999,,,,,,,,,,,,,,,,,,,,,8/9/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26767053.25824176,1016994.961538462,66727.69230769231,7.5999999,matched (3)
223,6,8,80.75,74,79.360001,-3.6,,203,35,17023,53.284546,26.075455,,,,,,,,,,,,,,,,,,,,,8/10/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26768194.61263736,1017019.557692308,66728.96153846153,7.9499998,matched (3)
226,2,8,80.5,77.75,79.019997,-.34,,201,33,17024,56.312729,22.707268,,,,,,,,,,,,,,,,,,,,,8/11/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26769335.96703297,1017044.153846154,66730.23076923077,7.5599999,matched (3)
227,3,8,71,62.5,69.400002,-9.619999999999999,,202,37,17027,59.740002,9.6599998,,,,,,,,,,,,,,,,,,,,,8/14/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26772760.03021978,1017117.942307692,66734.03846153847,6.8899999,matched (3)
228,4,8,67.5,64,66.169998,-3.23,,237,35,17028,58.862,7.3079987,,,,,,,,,,,,,,,,,,,,,8/15/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26773901.38461538,1017142.538461538,66735.30769230769,6.9000001,matched (3)
229,5,8,67.75,65.75,66.870003,.7,,239,34,17029,55.355999,11.514004,,,,,,,,,,,,,,,,,,,,,8/16/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26775042.73901099,1017167.134615385,66736.57692307692,7.0100002,matched (3)
230,6,8,66.5,64,65.400002,-1.47,,256,39,17030,50.504547,14.895454,,,,,,,,,,,,,,,,,,,,,8/17/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26776184.09340659,1017191.730769231,66737.84615384616,6.73,matched (3)
233,2,8,78,66.75,75.129997,9.73,,189,35,17031,50.408184,24.721813,,,,,,,,,,,,,,,,,,,,,8/18/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26777325.4478022,1017216.326923077,66739.11538461539,6.6599998,matched (3)
234,3,8,76.25,65.5,69.970001,-5.16,,209,38,17034,53.718998,16.251003,,,,,,,,,,,,,,,,,,,,,8/21/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26780749.51098901,1017290.115384615,66742.92307692308,6.7199998,matched (3)
235,4,8,71,66.5,67.870003,-2.1,,275,36,17035,52.192001,15.678001,,,,,,,,,,,,,,,,,,,,,8/22/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26781890.86538461,1017314.711538462,66744.19230769231,6.8600001,matched (3)
236,5,8,70,67.75,68.470001,.6,,272,36,17036,51.48,16.990002,,,,,,,,,,,,,,,,,,,,,8/23/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26783032.21978022,1017339.307692308,66745.46153846153,7.1900001,matched (3)
237,6,8,66,62,65.290001,-3.18,,277,35,17037,48.864544,16.425457,,,,,,,,,,,,,,,,,,,,,8/24/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26784173.57417582,1017363.903846154,66746.73076923077,7.2199998,matched (3)
240,2,8,76,69,69.660004,4.37,,210,34,17038,51.482727,18.177277,,,,,,,,,,,,,,,,,,,,,8/25/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26785314.92857143,1017388.5,66748,7.48,matched (3)
241,3,8,63.25,61.5,62.279999,-7.38,,238,33,17041,67.205002,-4.9250031,,,,,,,,,,,,,,,,,,,,,8/28/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26788738.99175824,1017462.288461538,66751.80769230769,6.5100002,matched (3)
242,4,8,66,58.5,60.27,-2.01,,266,33,17042,52.709091,7.5609093,,,,,,,,,,,,,,,,,,,,,8/29/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26789880.34615384,1017486.884615385,66753.07692307692,6.2399998,matched (3)
244,6,9,68,60,61.939999,1.67,,231,38,17043,52.154442,9.7855568,,,,,,,,,,,,,,,,,,,,,8/30/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26791021.70054945,1017511.480769231,66754.34615384616,6.4000001,matched (3)
,,,,,,,,,,17044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8000002,using only (2)
248,3,9,71,57,61.790001,-.15,,155,36,17045,47.674442,14.115559,,,,,,,,,,,,,,,,,,,,,9/1/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26793304.40934066,1017560.673076923,66756.88461538462,5.2399998,matched (3)
249,4,9,68,61.5,65.989998,4.2,,194,31,17049,57.088749,8.9012489,,,,,,,,,,,,,,,,,,,,,9/5/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26797869.82692308,1017659.057692308,66761.96153846153,5.4499998,matched (3)
250,5,9,65.5,61.25,63.919998,-2.07,,214,35,17050,54.76857,9.1514282,,,,,,,,,,,,,,,,,,,,,9/6/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26799011.18131868,1017683.653846154,66763.23076923077,5.6999998,matched (3)
251,6,9,57.25,55.25,56.41,-7.51,,269,37,17051,46.14909,10.26091,,,,,,,,,,,,,,,,,,,,,9/7/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26800152.53571428,1017708.25,66764.5,5.6399999,matched (3)
254,2,9,59.5,53,55.84,-.57,,301,36,17052,55.376366,.46363449,,,,,,,,,,,,,,,,,,,,,9/8/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26801293.89010989,1017732.846153846,66765.76923076923,5.3099999,matched (3)
255,3,9,60.75,56.25,59.150002,3.31,,343,40,17055,57.058998,2.0910034,,,,,,,,,,,,,,,,,,,,,9/11/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26804717.9532967,1017806.634615385,66769.57692307692,5.29,matched (3)
256,4,9,64.5,58.5,60.799999,1.65,,434,37,17056,48.633999,12.166,,,,,,,,,,,,,,,,,,,,,9/12/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26805859.3076923,1017831.230769231,66770.84615384616,5.5700002,matched (3)
257,5,9,54.75,51.5,53.310001,-7.49,,314,35,17057,46.875999,6.4340019,,,,,,,,,,,,,,,,,,,,,9/13/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26807000.66208791,1017855.826923077,66772.11538461539,5.4000001,matched (3)
258,6,9,47.5,38,45.650002,-7.66,,267,38,17058,46.569092,-.91909027,,,,,,,,,,,,,,,,,,,,,9/14/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26808142.01648352,1017880.423076923,66773.38461538462,5.0900002,matched (3)
261,2,9,52,38,42.040001,-3.61,,353,37,17059,46.127274,-4.0872726,,,,,,,,,,,,,,,,,,,,,9/15/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26809283.37087912,1017905.019230769,66774.65384615384,4.4000001,matched (3)
262,3,9,52.5,47.75,51.27,9.23,,291,35,17062,51.43,-.15999985,,,,,,,,,,,,,,,,,,,,,9/18/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26812707.43406593,1017978.807692308,66778.46153846153,5.02,matched (3)
263,4,9,51,47.25,48.619999,-2.65,,228,33,17063,49.622002,-1.0020027,,,,,,,,,,,,,,,,,,,,,9/19/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26813848.78846154,1018003.403846154,66779.73076923077,4.9899998,matched (3)
264,5,9,50,46.75,48.849998,.23,,306,33,17064,48.343998,.50600052,,,,,,,,,,,,,,,,,,,,,9/20/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26814990.14285714,1018028,66781,4.8699999,matched (3)
265,6,9,45,42,43.330002,-5.52,,245,36,17065,48.633999,-5.303997,,,,,,,,,,,,,,,,,,,,,9/21/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26816131.49725275,1018052.596153846,66782.26923076923,4.6500001,matched (3)
268,2,9,44.25,40.75,42.470001,-.86,,216,36,17066,45.935455,-3.4654541,,,,,,,,,,,,,,,,,,,,,9/22/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26817272.85164835,1018077.192307692,66783.53846153847,4.4699998,matched (3)
269,3,9,48.599998,44.5,46.18,3.71,,284,37,17069,52.402,-6.2220001,,,,,,,,,,,,,,,,,,,,,9/25/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26820696.91483516,1018150.980769231,66787.34615384616,4.3099999,matched (3)
270,4,9,48.25,46,46.84,.66,,256,38,17070,50.958889,-4.1188889,,,,,,,,,,,,,,,,,,,,,9/26/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26821838.26923077,1018175.576923077,66788.61538461539,4.3600001,matched (3)
271,5,9,48,46.25,47.459999,.62,,283,37,17071,50.588001,-3.1280022,,,,,,,,,,,,,,,,,,,,,9/27/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26822979.62362637,1018200.173076923,66789.88461538462,4.3499999,matched (3)
272,6,9,45.5,41,42.07,-5.39,,228,33,17072,50.040001,-7.9700012,,,,,,,,,,,,,,,,,,,,,9/28/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26824120.97802198,1018224.769230769,66791.15384615384,4.1500001,matched (3)
275,2,10,41.75,39.5,40.73,-1.34,,195,36,17073,47.556667,-6.8266678,,,,,,,,,,,,,,,,,,,,,9/29/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26825262.33241758,1018249.365384615,66792.42307692308,3.6600001,matched (3)
276,3,10,45.5,42.75,44.450001,3.72,,202,35,17076,55.581001,-11.131001,,,,,,,,,,,,,,,,,,,,,10/2/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26828686.39560439,1018323.153846154,66796.23076923077,4.1100001,matched (3)
277,4,10,46.75,42.75,44.389999,-.06,,267,37,17077,50.732998,-6.3429985,,,,,,,,,,,,,,,,,,,,,10/3/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26829827.75,1018347.75,66797.5,4.0100002,matched (3)
278,5,10,49.5,46.349998,47.860001,3.47,,216,37,17078,47.068001,.79199982,,,,,,,,,,,,,,,,,,,,,10/4/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26830969.1043956,1018372.346153846,66798.76923076923,4.3800001,matched (3)
279,6,10,48.75,40,47.630001,-.23,,194,37,17079,39.620998,8.0090027,,,,,,,,,,,,,,,,,,,,,10/5/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26832110.45879121,1018396.942307692,66800.03846153847,4.6900001,matched (3)
282,2,10,46.25,43.5,44.470001,-3.16,,252,36,17080,48.075455,-3.6054535,,,,,,,,,,,,,,,,,,,,,10/6/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26833251.81318681,1018421.538461538,66801.30769230769,4.4099998,matched (3)
283,3,10,49,45,47.82,3.35,,152,37,17083,54.158001,-6.3380013,,,,,,,,,,,,,,,,,,,,,10/9/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26836675.87637363,1018495.326923077,66805.11538461539,5.0599999,matched (3)
284,4,10,48.5,46,46.990002,-.83,,243,39,17084,50.014,-3.0239983,,,,,,,,,,,,,,,,,,,,,10/10/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26837817.23076923,1018519.923076923,66806.38461538462,5.1599998,matched (3)
285,5,10,53.25,51.049999,52.279999,5.29,,236,31,17085,51.538002,.74199677,,,,,,,,,,,,,,,,,,,,,10/11/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26838958.58516483,1018544.519230769,66807.65384615384,5.6599998,matched (3)
286,6,10,47.75,42,46.830002,-5.45,,205,32,17086,54.199089,-7.3690872,,,,,,,,,,,,,,,,,,,,,10/12/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26840099.93956044,1018569.115384615,66808.92307692308,5.1700001,matched (3)
289,2,10,47.75,43,44.200001,-2.63,,244,34,17087,49.397274,-5.1972733,,,,,,,,,,,,,,,,,,,,,10/13/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26841241.29395604,1018593.711538462,66810.19230769231,4.3000002,matched (3)
290,3,10,53.5,50.25,52.439999,8.24,,220,35,17090,55.612,-3.1720009,,,,,,,,,,,,,,,,,,,,,10/16/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26844665.35714285,1018667.5,66814,5.1300001,matched (3)
291,4,10,62.5,59,61.540001,9.1,,188,36,17091,52.632999,8.9070015,,,,,,,,,,,,,,,,,,,,,10/17/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26845806.71153846,1018692.096153846,66815.26923076923,6.2600002,matched (3)
292,5,10,60,57.849998,58.48,-3.06,,193,37,17092,47.027779,11.452221,,,,,,,,,,,,,,,,,,,,,10/18/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26846948.06593407,1018716.692307692,66816.53846153847,6.0700002,matched (3)
293,6,10,63,59.799999,60.720001,2.24,,240,35,17093,46.160999,14.559002,,,,,,,,,,,,,,,,,,,,,10/19/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26848089.42032967,1018741.288461538,66817.80769230769,6.77,matched (3)
296,2,10,67.5,64,65.309998,4.59,,199,35,17094,56.996666,8.3133316,,,,,,,,,,,,,,,,,,,,,10/20/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26849230.77472527,1018765.884615385,66819.07692307692,6.8800001,matched (3)
297,3,10,73.25,70.75,71.68,6.37,,192,35,17097,55.521111,16.15889,,,,,,,,,,,,,,,,,,,,,10/23/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26852654.83791209,1018839.673076923,66822.88461538462,7.29,matched (3)
298,4,10,74,71,72.059998,.38,,155,32,17098,48.08091,23.979088,,,,,,,,,,,,,,,,,,,,,10/24/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26853796.19230769,1018864.269230769,66824.15384615384,7.1300001,matched (3)
299,5,10,73.5,71.5,72.629997,.57,,183,34,17099,53.771999,18.857998,,,,,,,,,,,,,,,,,,,,,10/25/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26854937.54670329,1018888.865384615,66825.42307692308,7.1999998,matched (3)
300,6,10,73.5,71,72.959999,.33,,165,32,17100,51.737499,21.2225,,,,,,,,,,,,,,,,,,,,,10/26/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26856078.9010989,1018913.461538462,66826.69230769231,7.9099998,matched (3)
303,2,10,72,70.5,71.120003,-1.84,,174,31,17101,50.668999,20.451004,,,,,,,,,,,,,,,,,,,,,10/27/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26857220.25549451,1018938.057692308,66827.96153846153,7.4099998,matched (3)
304,3,10,71,68,70.129997,-.99,,157,32,17104,57.865715,12.264282,,,,,,,,,,,,,,,,,,,,,10/30/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26860644.31868132,1019011.846153846,66831.76923076923,6.9899998,matched (3)
305,4,11,71.25,67,69.589996,-.54,,192,34,17105,51.279999,18.309998,,,,,,,,,,,,,,,,,,,,,10/31/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26861785.67307692,1019036.442307692,66833.03846153847,6.6399999,matched (3)
306,5,11,73.25,68.5,71.599998,2.01,,162,30,17106,48.869999,22.73,,,,,,,,,,,,,,,,,,,,,11/1/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26862927.02747253,1019061.038461538,66834.30769230769,7.1500001,matched (3)
307,6,11,68.75,63.75,66.599998,-5,,161,30,17107,47.247501,19.352497,,,,,,,,,,,,,,,,,,,,,11/2/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26864068.38186813,1019085.634615385,66835.57692307692,7.3200002,matched (3)
310,2,11,70.75,66.5,67.68,1.08,,209,36,17108,51.605453,16.074547,,,,,,,,,,,,,,,,,,,,,11/3/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26865209.73626373,1019110.230769231,66836.84615384616,7.4299998,matched (3)
311,3,11,63,60,60.869999,-6.81,,197,32,17111,53.59,7.2799988,,,,,,,,,,,,,,,,,,,,,11/6/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26868633.79945055,1019184.019230769,66840.65384615384,6.7199998,matched (3)
312,4,11,61.5,58.049999,60.360001,-.51,,236,36,17112,46.157143,14.202858,,,,,,,,,,,,,,,,,,,,,11/7/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26869775.15384615,1019208.615384615,66841.92307692308,6.5900002,matched (3)
314,6,11,63,57.5,61.700001,1.34,,172,33,17113,46.532501,15.1675,,,,,,,,,,,,,,,,,,,,,11/8/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26870916.50824176,1019233.211538462,66843.19230769231,7.3899999,matched (3)
317,2,11,62.25,60,60.98,-.72,,220,32,17114,47.104546,13.875454,,,,,,,,,,,,,,,,,,,,,11/9/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26872057.86263736,1019257.807692308,66844.46153846153,7.3499999,matched (3)
,,,,,,,,,,17115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1599998,using only (2)
318,3,11,61.5,60,60.91,-.07,,186,36,17118,52.392223,8.5177765,,,,,,,,,,,,,,,,,,,,,11/13/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26876623.28021978,1019356.192307692,66849.53846153847,7.2600002,matched (3)
319,4,11,63,61.25,62.110001,1.2,,216,35,17119,46.280998,15.829002,,,,,,,,,,,,,,,,,,,,,11/14/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26877764.63461538,1019380.788461538,66850.80769230769,7.4200001,matched (3)
320,5,11,64.5,63.5,64.239998,2.13,,216,35,17120,45.561001,18.678997,,,,,,,,,,,,,,,,,,,,,11/15/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26878905.98901099,1019405.384615385,66852.07692307692,7.4499998,matched (3)
321,6,11,64,58.75,62.810001,-1.43,,145,31,17121,45.147274,17.662727,,,,,,,,,,,,,,,,,,,,,11/16/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26880047.34340659,1019429.980769231,66853.34615384616,7.5900002,matched (3)
324,2,11,65.75,60.5,61.419998,-1.39,,230,33,17122,47.014545,14.405453,,,,,,,,,,,,,,,,,,,,,11/17/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26881188.6978022,1019454.576923077,66854.61538461539,7.23,matched (3)
325,3,11,67.099998,63.75,66.269997,4.85,,205,34,17125,49.57,16.699997,,,,,,,,,,,,,,,,,,,,,11/20/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26884612.76098901,1019528.365384615,66858.42307692308,7.79,matched (3)
328,6,11,59,52.5,55.580002,-10.69,,195,36,17126,44.282856,11.297146,,,,,,,,,,,,,,,,,,,,,11/21/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26885754.11538461,1019552.961538462,66859.69230769231,7.5700002,matched (3)
331,2,11,63,58.75,59.700001,4.12,,208,34,17127,49.164001,10.535999,,,,,,,,,,,,,,,,,,,,,11/22/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26886895.46978022,1019577.557692308,66860.96153846153,7.4200001,matched (3)
